Job_Id,android,docker,google cloud platform,ios,kubernetes,linux,wordpress
1,,,,,,,
2,,,,,,,
3,,1.0,,,1.0,,
4,,,,,,,
5,,1.0,1.0,,,1.0,
6,,1.0,,,1.0,1.0,
7,,,,,,,
8,,,,,,,
9,,,,,,,
10,,,,,,,
11,,,,,,1.0,
12,,1.0,,,,,
13,,,,,,,
14,,,,,,,
15,,,,,,,
16,,,,,,,
17,,,,,,,
18,,,,,,,
19,,,,,,,
20,,,,,,,
21,,,,,,,
22,,,,,,,
23,,,1.0,,,,
24,,,,,,1.0,
25,,,,,,,
26,,,,,,,
27,,,,,,,
28,,,,,,,
29,,,,,,,
30,,1.0,,,1.0,,
31,,,,,,,
32,,,,,,,
33,,,,,,,
34,,,,,,,
35,1.0,,,1.0,,,
36,,,1.0,,,,
37,,,,,,,
38,,1.0,,,1.0,1.0,
39,,,,,,,
40,,,,,,1.0,
41,,,,,,,
42,,,,,,,
43,,,,,,,
44,,,,,,,
45,,,,,,,
46,,,,,,,
47,,,,,,,
48,,,,,,,
49,,,,,,,
50,,,,,,,
51,,,,,,1.0,
52,,,,,,,
53,,1.0,,,1.0,,
54,,,,,,,
55,,,,,,,
56,,,,,,,
57,,,,,,,
58,,1.0,,,,1.0,
59,,,,,,,
60,,,,,,,
61,1.0,,,1.0,,1.0,
62,,,,,,1.0,
63,,,,,,,
64,,,,,,,
65,,,,,,,
66,,,,,,,
67,,,,,,,
68,,,,1.0,,,
69,,,,,,,
70,,,,,,,
71,,,,,,,
72,,,,,,,
73,,,,,,,
74,,,,,,,
75,,,,,,,
76,,,,,,1.0,
77,,,,,,,
78,,,,,,,
79,1.0,,,,,,
80,,,,,,1.0,
81,,,,,1.0,,
82,,,,,,,
83,,,,,,,
84,,,,,,,
85,,,,,,,
86,,,,,,,
87,,,,,,,
88,,,,1.0,,1.0,
89,,,,,,,
90,,,,,,,
91,,,,,,,
92,,,,,,1.0,
93,,,,,,,
94,,,,,,,
95,,,,,,,
96,,,,,,,
97,,,,,,,
98,,,,,,,
99,,,,,,,
100,,,,,,,
101,,,,,,,
102,,,,,,,
103,,,,,,,
104,,,,,,,
105,,,,,,,
106,,,,,,,
107,,,1.0,,,,
108,,,,,,,
109,,,,,,,
110,,,,,,1.0,
111,,,,,,,
112,,,,,,,
113,,,,,,,
114,,,,,,,
115,,,,,,,
116,,,,,,,
117,,1.0,,,,1.0,
118,,,,,,,
119,,1.0,,,1.0,,
120,,,,,,,
121,,,,,,,
122,,,,,,,
123,,,,,,,
124,,,,,,,
125,,,,,,,
126,,,,,,,
127,,,,,,,
128,,,,,,,
129,,1.0,,,1.0,,
130,,,,,,,
131,,,,,,,
132,,1.0,,,,1.0,
133,,,,,,,
134,,,,,,,
135,,,,,,1.0,
136,,,,,,,
137,,,,,,,
138,,,,,,,
139,,,,,,,
140,,,,,,,
141,,,,,,1.0,
142,,1.0,,,1.0,,
143,,,,,,,
144,,,,,,,
145,,,,,,,
146,,,,,,,
147,,,,,,,
148,,,,,,1.0,
149,,,,,,1.0,
150,,,,,,,
151,,,,,,,
152,,1.0,,,1.0,1.0,
153,,,,,,,
154,,,,,,,
155,,,,,,,
156,,,,,,,
157,,,,,,,
158,,,,,,,
159,,,,,,,
160,,,,,,,
161,,1.0,,,1.0,,
162,,,,,,,
163,,,,,,,
164,,,,,,,
165,,,,,,,
166,,,,,,,
167,,,,,,,
168,,,,,,,
169,,,,,,,
170,,,,,,1.0,
171,,,,,,,
172,,,,,,,
173,,,,,,,
174,,,,,,,
175,,,,,,,
176,,,,1.0,,,
